id,type,model,status,lost_by,date,nearest_location,geolocation,unit,oryx_url,Latitude,Longitude
2,Tanks,T-64BV,Destroyed,Russia,2022-03-16,"Mariupol, Mariupol raion","47.099125851628806,37.52371337039075",,https://i.postimg.cc/vTVpDRV2/4fhh.png,47.099125851628806,37.52371337039075
3,Tanks,T-64BV,Destroyed,Russia,2022-03-16,"Mariupol, Mariupol raion","47.09869256359657,37.52353235165147",,https://i.postimg.cc/nLkXCgJk/5gk.png,47.09869256359657,37.52353235165147
5,Tanks,T-64BV,Destroyed,Russia,2022-03-17,"Mariupol, Mariupol raion","47.098139835697424,37.640174323260645",,https://i.postimg.cc/13SPjpnQ/325.png,47.098139835697424,37.640174323260645
6,Tanks,T-64BV,Destroyed,Russia,2022-03-31,"Rubizhne, Severodonetsk raion","49.01122,38.39844",,https://i.postimg.cc/Dm38Wx0v/669.png,49.01122,38.39844
8,Tanks,T-64BV,Destroyed,Russia,2022-03-07,"Mariupol, Mariupol raion","47.06449,37.47426",,https://i.postimg.cc/Tw0Bjx5w/768.jpg,47.06449,37.47426
10,Tanks,T-64BV,Destroyed,Russia,2022-05-06,"Mariupol, Mariupol raion","47.152873,37.632595",1st Army Corps (DNR),https://i.postimg.cc/HnjRpt75/f2gh.jpg,47.152873,37.632595
11,Tanks,T-64BV,Damaged,Russia,2022-05-20,"Rubizhne, Severodonetsk raion","49.03426,38.354",,https://i.postimg.cc/brCYNNH4/46.jpg,49.03426,38.354
13,Tanks,T-64A,Destroyed,Russia,2022-05-25,"Borivske, Severodonetsk raion","48.875283,38.600434",,https://twitter.com/UAWeapons/status/1529509006422728704,48.875283,38.600434
14,Tanks,T-64BV,Destroyed,Russia,2022-05-25,"Borivske, Severodonetsk raion","48.876075,38.600937",,https://twitter.com/UAWeapons/status/1529509006422728704,48.876075,38.600937
15,Tanks,T-64BV,Destroyed,Russia,2022-05-29,"Rubizhne, Severodonetsk raion","48.98553,38.40138",,https://twitter.com/UAWeapons/status/1531973654313152515,48.98553,38.40138
17,Tanks,T-64BV,Destroyed,Russia,2022-05-11,"Oleksandrivka, Donetsk raion","47.903917,37.535861",,https://twitter.com/UAWeapons/status/1534939583821107200,47.903917,37.535861
19,Tanks,T-64BV,Damaged,Russia,2022-04-17,"Rubizhne, Severodonetsk raion","49.011984,38.397356",,https://i.postimg.cc/SQYyjpnT/887.jpg,49.011984,38.397356
20,Tanks,T-64BV,Captured,Russia,2022-03-29,Luhansk oblast,,,https://i.postimg.cc/Gmh6ZzQv/31d.png,,
26,Tanks,T-72A,Destroyed,Russia,2022-03-10,"Skybyn, Brovary raion","50.586255,30.839030",6th Tank Regiment,https://i.postimg.cc/Prr1LXqZ/58.png,50.586255,30.839030
27,Tanks,T-72A,Destroyed,Russia,2022-03-06,"Zavorychi, Brovary raion","50.70268,31.1552",6th Tank Regiment,https://i.postimg.cc/mrQPXJDB/e1.png,50.70268,31.1552
28,Tanks,T-72A,Destroyed,Russia,2022-03-27,"Verkhniotoretske, Pokrovsk raion",,,https://i.postimg.cc/ZnhCrpqR/28.png,,
29,Tanks,T-72A,Destroyed,Russia,2022-03-30,"Nizhyn raion, Chernihiv oblast",,6th Tank Regiment,https://i.postimg.cc/kX7BT8yc/65.jpg,,
30,Tanks,T-72A,Destroyed,Russia,2022-04-04,"Politrudnia, Chernihiv raion","51.83793,31.60029",80th Tank Regiment,https://i.postimg.cc/Dy6Y8N89/g7.jpg,51.83793,31.60029
31,Tanks,T-72A,Destroyed,Russia,2022-04-26,Chernihiv oblast,,6th Tank Regiment,https://i.postimg.cc/tg0SKYHf/2216.jpg,,
32,Tanks,T-72B,Destroyed,Russia,2022-06-01,"Mariinka, Pokrovsk raion","47.932043,37.523071",,https://i.postimg.cc/rwLTCjMW/554.jpg,47.932043,37.523071
34,Tanks,T-72A,Captured,Russia,2022-03-10,Chernihiv oblast,,6th Tank Regiment,https://i.postimg.cc/pLZK95pC/6652.jpg,,
35,Tanks,T-72A,Captured,Russia,2022-03-10,"Skybyn, Brovary raion","50.583148,30.836393",6th Tank Regiment,https://i.postimg.cc/DfBZsDkg/558.png,50.583148,30.836393
36,Tanks,T-72A,Captured,Russia,2022-03-10,"Kolychivka, Chernihiv raion","51.42088,31.30846",80th Tank Regiment,https://i.postimg.cc/tTk2850K/1d4.jpg,51.42088,31.30846
39,Tanks,T-72A,Captured,Russia,2022-03-06,"Zavorychi, Brovary raion","50.7017,31.1541",6th Tank Regiment,https://i.postimg.cc/8zcL9Jbz/40.png,50.7017,31.1541
42,Tanks,T-72A,Captured,Russia,2022-05-17,"Bilohorivka, Severodonetsk raion",,6th Tank Regiment,https://i.postimg.cc/VkHjZR9j/266.png,,
43,Tanks,T-72A,Captured,Russia,2022-05-25,"Bilohorivka, Severodonetsk raion","48.9511,38.22929",6th Tank Regiment,https://i.postimg.cc/BbJTW4Xw/44h.png,48.9511,38.22929
44,Tanks,T-72A,Destroyed,Russia,2022-07-13,"Bilohorivka, Severodonetsk raion","48.9515,38.22714",6th Tank Regiment,https://i.postimg.cc/d18cYRk7/4f.jpg,48.9515,38.22714
45,Tanks,T-72A,Captured,Russia,2022-05-28,"Bilohorivka, Severodonetsk raion",,,https://i.postimg.cc/HkMqRm4q/7j6.png,,
49,Tanks,T-72AV,Destroyed,Russia,2022-04-11,"Nova Basan, Nizhyn raion","50.54869,31.50226",,https://i.postimg.cc/nrvf8dH7/75.jpg,50.54869,31.50226
50,Tanks,T-80BV,Destroyed,Russia,2022-03-30,Kyiv oblast,,,https://i.postimg.cc/3RNv9FcH/5547.jpg,,
51,Tanks,T-72AV,Captured,Russia,2022-03-10,"Skybyn, Brovary raion","50.58057,30.83448",6th Tank Regiment,https://i.postimg.cc/1RJLbc6f/689.png,50.58057,30.83448
52,Tanks,T-72AV,Captured,Russia,2022-03-11,"Malyi Vystorop, Sumy raion","50.62778,34.81719",15th Motor Rifle Regiment,https://i.postimg.cc/Y0ZfvWm2/d67.png,50.62778,34.81719
53,Tanks,T-72AV,Captured,Russia,2022-04-02,"Nova Basan, Nizhyn raion","50.57066,31.51588",239th Tank Regiment,https://i.postimg.cc/HLP22qvC/4880.png,50.57066,31.51588
54,Tanks,T-72B,Destroyed,Russia,2022-02-26,"Metiolkine, Severodonetsk raion","48.936789,38.600982",,https://i.postimg.cc/MKd2B71P/1010.jpg,48.936789,38.600982
55,Tanks,T-72B,Destroyed,Russia,2022-03-02,"Makoshyne, Koriukivka raion",,6th Tank Regiment,https://i.postimg.cc/PJyDTMvz/3f.png,,
56,Tanks,T-72B,Destroyed,Russia,2022-02-28,Luhansk oblast,,,https://i.postimg.cc/nVC3Hb5N/v90.png,,
57,Tanks,T-72B,Destroyed,Russia,2022-03-04,"Stoianka, Bucha raion","50.446174,30.220760",5th Separate Tank Brigade,https://i.postimg.cc/1z0hr1Ck/5gg.png,50.446174,30.220760
